Designator,Footprint,Quantity,Value,LCSC Part #
J1,PinHeader_1x01_P2.54mm_Vertical,1,Run_in+,
J10,PinHeader_1x01_P2.54mm_Vertical,1,Reverse_in+,
J11,PinHeader_1x01_P1.00mm_Vertical,1,brake+,
J12,PinHeader_1x01_P2.54mm_Vertical,1,LED_Low_V+,
J13,PinHeader_1x01_P1.00mm_Vertical,1,brake-,
"J14_2, J14",PinHeader_1x01_P1.00mm_Vertical,2,running+,
J15,PinHeader_1x01_P1.00mm_Vertical,1,running-,
J2,PinHeader_1x01_P2.54mm_Vertical,1,Brake_in+,
J3,PinHeader_1x01_P2.54mm_Vertical,1,Turn_in+,
"J4_2, J4",PinHeader_1x01_P1.00mm_Vertical,2,turn+,
J5,PinHeader_1x01_P1.00mm_Vertical,1,turn-,
J6,PinHeader_1x01_P1.00mm_Vertical,1,reverse+,
J7,PinHeader_1x01_P1.00mm_Vertical,1,reverse-,
J8,PinHeader_1x01_P2.54mm_Vertical,1,ground_in,
