Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_EIA-3528-12_Kemet-T_Pad1.50x2.35mm_HandSolder,1,100uF,
J1,PinHeader_1x01_P2.54mm_Vertical,1,Run_in+,
J2,PinHeader_1x01_P2.54mm_Vertical,1,Brake_in+,
J3,PinHeader_1x01_P2.54mm_Vertical,1,Turn_in+,
J4,PinHeader_1x01_P2.54mm_Vertical,1,Run_out+,
J5,PinHeader_1x01_P2.54mm_Vertical,1,Brake_out+,
J6,PinHeader_1x01_P2.54mm_Vertical,1,Turn_out+,
J7,PinHeader_1x01_P2.54mm_Vertical,1,ground_out,
J8,PinHeader_1x01_P2.54mm_Vertical,1,ground_in,
J9,PinHeader_1x01_P2.54mm_Vertical,1,9v_in,
K1,Relay_SPDT_Hongfa_JQC-3FF_0XX-1Z,1,Running_Relay,
K2,Relay_SPDT_Hongfa_JQC-3FF_0XX-1Z,1,Turn_Relay,
K3,Relay_SPDT_Hongfa_JQC-3FF_0XX-1Z,1,Brake_Relay,
"R1, R2",1206,2,4700,
"R3, R5, R8",1206,3,330,
"R6, R7, R9",1206,3,100,
U1,DIP-8_W7.62mm,1,NE555P,
