Designator,Mid X,Mid Y,Rotation,Layer
,127.0,-91.44,0.0,top
C1,136.398,-87.783,270.0,top
J1,95.25,-46.99,0.0,top
J10,105.41,-46.99,0.0,top
J11,166.37,-77.47,0.0,top
J12,120.65,-46.99,0.0,top
J2,100.33,-46.99,0.0,top
J3,110.49,-46.99,0.0,top
J4,158.75,-46.99,0.0,top
J5,163.83,-46.99,0.0,top
J6,168.91,-46.99,0.0,top
J7,153.67,-46.99,0.0,top
J8,115.57,-46.99,0.0,top
J9,166.37,-82.55,270.0,top
K1,122.84,-64.25,90.0,top
K2,162.972,-62.504,270.0,top
K3,142.906,-62.242,270.0,top
K4,102.712,-64.25,90.0,top
MH-MINI-360,104.264,-82.622,0.0,top
R1,136.398,-82.2345,270.0,top
R2,136.398,-76.7695,270.0,top
R3,155.676,-76.2,180.0,top
R7,148.818,-76.2,0.0,top
U1,149.86,-84.328,270.0,top
