Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,100uF,
J1,PinHeader_1x01_P2.54mm_Vertical,1,DNP,
J2,PinHeader_1x01_P2.54mm_Vertical,1,DNP,
J3,PinHeader_1x01_P2.54mm_Vertical,1,DNP,
J4,PinHeader_1x01_P2.54mm_Vertical,1,DNP,
J5,PinHeader_1x01_P2.54mm_Vertical,1,DNP,
J6,PinHeader_1x01_P2.54mm_Vertical,1,DNP,
J7,PinHeader_1x01_P1.00mm_Vertical,1,DNP,
J8,PinHeader_1x01_P1.00mm_Vertical,1,DNP,
K1,Relay_SPDT_Hongfa_JQC-3FF_0XX-1Z,1,DNP,
K2,Relay_SPDT_Hongfa_JQC-3FF_0XX-1Z,1,DNP,
K3,Relay_SPDT_Hongfa_JQC-3FF_0XX-1Z,1,DNP,
"R1, R2",2010,2,4700,
"R3, R4, R5",805,3,430,
U1,DIP-8_W7.62mm,1,NE555P,
