Designator,Mid X,Mid Y,Rotation,Layer
C1,147.929,-98.044,180.0,top
J1,128.27,-62.23,270.0,top
J2,128.27,-67.31,270.0,top
J3,128.27,-72.39,270.0,top
J4,194.31,-64.77,270.0,top
J5,194.31,-69.85,270.0,top
J6,194.31,-74.93,270.0,top
J7,194.31,-80.01,270.0,top
J8,128.27,-77.47,270.0,top
J9,128.27,-82.55,270.0,top
K1,179.674,-73.394,90.0,top
K2,160.37,-73.394,90.0,top
K3,141.3605,-73.2725,90.0,top
R1,148.2745,-92.456,0.0,top
R2,142.8095,-92.456,0.0,top
R3,158.978,-85.09,180.0,top
R5,177.038,-85.09,180.0,top
R6,169.9,-85.09,0.0,top
R7,151.866,-85.09,0.0,top
R8,142.012,-84.836,0.0,top
R9,134.594,-84.836,180.0,top
U1,163.322,-94.742,270.0,top
